,author,likes,tags,text
0,Dr. Seuss,191386,"['attributed-no-source', 'cry', 'crying', 'experience', 'happiness', 'joy', 'life', 'misattributed-dr-seuss', 'optimism', 'sadness', 'smile', 'smiling']","Don't cry because it's over, smile because it happened."
1,Marilyn Monroe,147106,"['attributed-no-source', 'best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']","I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best."
2,Oscar Wilde,144644,"['attributed-no-source', 'be-yourself', 'honesty', 'inspirational', 'misattributed-oscar-wilde']",Be yourself; everyone else is already taken.
3,Albert Einstein,128548,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']",Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.
4,Frank Zappa,123603,"['books', 'humor']","So many books, so little time."
5,Bernard M. Baruch,118780,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']","Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind."
6,Marcus Tullius Cicero,117230,"['attributed-no-source', 'books', 'simile', 'soul']",A room without books is like a body without a soul.
7,William W. Purkey,115984,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']",You've gotta dance like there's nobody watching
8,Dr. Seuss,113071,"['attributed-no-source', 'dreams', 'love', 'reality', 'sleep']",You know you're in love when you can't fall asleep because reality is finally better than your dreams.
9,Mae West,105455,"['humor', 'life']","You only live once, but if you do it right, once is enough."
10,Mahatma Gandhi,104085,"['action', 'change', 'inspirational', 'philosophy', 'wish']",Be the change that you wish to see in the world.
11,Robert Frost,98020,['life'],In three words I can sum up everything I've learned about life: it goes on.
12,"J.K. Rowling,",94000,['94000 likes'],"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals."
13,Albert Camus,84184,"['attributed-no-source', 'friends', 'friendship', 'misattributed-albert-camus']",Don’t walk in front of me… I may not follo
14,"Eleanor Roosevelt,",83488,"['confidence', 'inspirational', 'wisdom']",No one can make you feel inferior without your consent.
15,"C.S. Lewis,",83106,['friendship'],"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . ."
16,Mark Twain,82251,"['lies', 'lying', 'memory', 'truth']","If you tell the truth, you don't have to remember anything."
17,Elbert Hubbard,77304,"['friend', 'friendship', 'knowledge', 'love']",A friend is someone who knows all about you and still loves you.
18,Maya Angelou,77223,['77223 likes'],"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
19,Oscar Wilde,74237,"['attributed-no-source', 'enemies', 'forgiveness', 'strategy']",Always forgive your enemies; nothing annoys them so much.
20,Oscar Wilde,71758,['life'],"To live is the rarest thing in the world. Most people exist, that is all."
21,Mahatma Gandhi,71451,"['carpe-diem', 'education', 'inspirational', 'learning']",Live as if you were to die tomorrow. Learn as if you were to live forever.
22,"Martin Luther King Jr.,",70722,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']",Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
23,"Oscar Wilde,",66718,"['intelligence', 'self-deprecation']",I am so clever that sometimes I don't understand a single word of what I am saying.
24,"Friedrich Nietzsche,",65507,"['inspirational', 'music', 'philosophy']","Without music, life would be a mistake."
25,Ralph Waldo Emerson,64095,"['accomplishment', 'attributed-no-source', 'be-yourself', 'conformity', 'individuality']",To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
26,Rob Siltanen,63970,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']","Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do."
27,"Stephen Chbosky,",63718,"['inspirational', 'love']",We accept the love we think we deserve.
28,Narcotics Anonymous,60112,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']","Insanity is doing the same thing, over and over again, but expecting different results."
29,Marilyn Monroe,58978,"['attributed-no-source', 'misattributed-marilyn-monroe']","I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together."
30,Dr. Seuss,191386,"['attributed-no-source', 'cry', 'crying', 'experience', 'happiness', 'joy', 'life', 'misattributed-dr-seuss', 'optimism', 'sadness', 'smile', 'smiling']","Don't cry because it's over, smile because it happened."
31,Marilyn Monroe,147106,"['attributed-no-source', 'best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']","I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best."
32,Oscar Wilde,144644,"['attributed-no-source', 'be-yourself', 'honesty', 'inspirational', 'misattributed-oscar-wilde']",Be yourself; everyone else is already taken.
33,Albert Einstein,128548,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']",Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.
34,Frank Zappa,123603,"['books', 'humor']","So many books, so little time."
35,Bernard M. Baruch,118780,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']","Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind."
36,Marcus Tullius Cicero,117230,"['attributed-no-source', 'books', 'simile', 'soul']",A room without books is like a body without a soul.
37,William W. Purkey,115984,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']",You've gotta dance like there's nobody watching
38,Dr. Seuss,113071,"['attributed-no-source', 'dreams', 'love', 'reality', 'sleep']",You know you're in love when you can't fall asleep because reality is finally better than your dreams.
39,Mae West,105455,"['humor', 'life']","You only live once, but if you do it right, once is enough."
40,Mahatma Gandhi,104085,"['action', 'change', 'inspirational', 'philosophy', 'wish']",Be the change that you wish to see in the world.
41,Robert Frost,98020,['life'],In three words I can sum up everything I've learned about life: it goes on.
42,"J.K. Rowling,",94000,['94000 likes'],"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals."
43,Albert Camus,84184,"['attributed-no-source', 'friends', 'friendship', 'misattributed-albert-camus']",Don’t walk in front of me… I may not follo
44,"Eleanor Roosevelt,",83488,"['confidence', 'inspirational', 'wisdom']",No one can make you feel inferior without your consent.
45,"C.S. Lewis,",83106,['friendship'],"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . ."
46,Mark Twain,82251,"['lies', 'lying', 'memory', 'truth']","If you tell the truth, you don't have to remember anything."
47,Elbert Hubbard,77304,"['friend', 'friendship', 'knowledge', 'love']",A friend is someone who knows all about you and still loves you.
48,Maya Angelou,77223,['77223 likes'],"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
49,Oscar Wilde,74237,"['attributed-no-source', 'enemies', 'forgiveness', 'strategy']",Always forgive your enemies; nothing annoys them so much.
50,Oscar Wilde,71758,['life'],"To live is the rarest thing in the world. Most people exist, that is all."
51,Mahatma Gandhi,71451,"['carpe-diem', 'education', 'inspirational', 'learning']",Live as if you were to die tomorrow. Learn as if you were to live forever.
52,"Martin Luther King Jr.,",70722,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']",Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
53,"Oscar Wilde,",66718,"['intelligence', 'self-deprecation']",I am so clever that sometimes I don't understand a single word of what I am saying.
54,"Friedrich Nietzsche,",65507,"['inspirational', 'music', 'philosophy']","Without music, life would be a mistake."
55,Ralph Waldo Emerson,64095,"['accomplishment', 'attributed-no-source', 'be-yourself', 'conformity', 'individuality']",To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
56,Rob Siltanen,63970,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']","Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do."
57,"Stephen Chbosky,",63718,"['inspirational', 'love']",We accept the love we think we deserve.
58,Narcotics Anonymous,60112,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']","Insanity is doing the same thing, over and over again, but expecting different results."
59,Marilyn Monroe,58978,"['attributed-no-source', 'misattributed-marilyn-monroe']","I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together."
60,"H. Jackson Brown Jr.,",56259,"['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']",Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.
61,"Andre Gide,",54264,"['life', 'love']",It is better to be hated for what you are than to be loved for what you are not.
62,Bob Marley,54065,['love'],"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life."
63,"J.R.R. Tolkien,",51329,"['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']",All that is gold does not glitter
64,"J.K. Rowling,",48729,"['abilities', 'choices']","It is our choices, Harry, that show what we truly are, far more than our abilities."
65,Marilyn Monroe,47576,"['attributed-no-source', 'be-yourself', 'inspirational']","Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."
66,"Jane Austen,",47351,"['aliteracy', 'books', 'classic', 'humor']","The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."
67,"J.K. Rowling,",46722,"['dreams', 'life']",It does not do to dwell on dreams and forget to live.
68,Albert Einstein,46552,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles']",There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
69,"John Green,",44683,['love'],"As he read, I fell in love the way you fall asleep: slowly, and then all at once."
70,Mark Twain,44062,"['books', 'contentment', 'friends', 'friendship', 'life']","Good friends, good books, and a sleepy conscience: this is the ideal life."
71,Maurice Switzer,43062,"['misattributed-to-abraham-lincoln', 'remaining-silent', 'wisdom']","It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it."
72,"William Shakespeare,",42356,['wisdom'],"The fool doth think he is wise, but the wise man knows himself to be a fool."
73,Allen Saunders,42123,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",Life is what happens to us while we are making other plans.
74,"Oscar Wilde,",42004,"['inspirational', 'optimism', 'perception', 'pessimism']","We are all in the gutter, but some of us are looking at the stars."
75,Mark Twain,41935,"['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']","Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect)."
76,"Neil Gaiman,",41287,"['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']","Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten."
77,Bill Keane,40676,"['attributed-no-source', 'hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']","Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present."
78,Eleanor Roosevelt,39635,"['attributed-no-source', 'misattributed-eleanor-roosevelt']",A woman is like a tea bag; you never know how strong it is until it's in hot water.
79,Thomas A. Edison,39521,"['edison', 'failure', 'inspirational', 'paraphrased']","I have not failed. I've just found 10,000 ways that won't work."
80,Mark Twain,38790,"['aliteracy', 'attributed-no-source', 'literacy']",The man who does not read has no advantage over the man who cannot read.
81,Elie Wiesel,38587,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']","The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
82,Friedrich Nietzsche,38470,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']","It is not a lack of love, but a lack of friendship that makes unhappy marriages."
83,Gordon A. Eadie,37957,"['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']",If you don't stand for something you will fall for anything.
84,"douglas adams,",37359,"['life', 'navigation']","I may not have gone where I intended to go, but I think I have ended up where I needed to be."
85,"J.K. Rowling,",37254,['mischief'],I solemnly swear that I am up to no good.
86,"Groucho Marx,",36484,"['animals', 'books', 'dogs', 'friends', 'humor']","Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read."
87,"Pablo Neruda,",36210,"['love', 'poetry']","I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."
88,Albert Einstein,36083,"['1929', 'imagination', 'inspirational', 'viereck-interview']",I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.
